Efficiency,Cost_USD,Slots,Poles,L_mm,OD_mm,ID_mm,Gap_mm,PMt_mm,Wire_mm,Turns,eff_norm,cost_norm_good,distance_to_ideal
0.956764828388614,31.00813627328847,48,4,66.38549555610936,124.1437931859246,84.60432448645966,0.3048685866901256,1.6626935990941458,1.3371849405096312,61,0.9542194425250243,0.9260130898337491,0.15489386994492418
0.9677069132468054,33.61658585169508,51,8,66.54863785121071,122.08263142857868,85.71330677400448,0.3023574125607893,2.1523339813372453,1.2325613031713263,59,0.9660950905815242,0.9167795699300226,0.1698590674847917
0.9677069132468054,33.61658585169508,51,8,66.54863785121071,122.08263142857868,85.71330677400448,0.3023574125607893,2.1523339813372453,1.2325613031713263,59,0.9660950905815242,0.9167795699300226,0.1698590674847917
0.9683784389065871,34.822108710178526,57,14,66.54863785121071,123.79932111935393,85.71330677400447,0.3023574125607893,2.1523339813372453,1.2325613031713265,64,0.966823909860467,0.9125121999948888,0.17809299131600825
0.9683784389065871,34.822108710178526,57,14,66.54863785121071,123.79932111935392,85.71330677400447,0.3023574125607893,2.1523339813372453,1.2325613031713265,64,0.966823909860467,0.9125121999948888,0.17809299131600825
0.9688829238278819,35.250119435819755,57,10,66.54863785121071,126.64216222200074,85.71330677400445,0.3023574125607893,2.1523339813372453,1.2325613031713265,64,0.9673714367214584,0.9109971062829256,0.18097149914191774
0.9688829238278819,35.250119435819755,57,10,66.54863785121071,126.64216222200074,85.71330677400445,0.3023574125607893,2.1523339813372453,1.2325613031713265,64,0.9673714367214584,0.9109971062829256,0.18097149914191774
0.9688829238278819,35.250119435819755,57,10,66.54863785121071,126.64216222200074,85.71330677400445,0.3023574125607893,2.1523339813372453,1.2325613031713265,64,0.9673714367214584,0.9109971062829256,0.18097149914191774
0.9693121472464643,35.631891514816616,39,8,69.32898246141264,122.08132890155463,91.13352314492118,0.30738393042293777,2.1547903642092185,1.1886550580871837,64,0.9678372808748126,0.9096456904383236,0.1835484827695253
0.9747691260341367,37.07362766982109,42,16,68.0686748992553,120.0,83.7334517018607,0.3,2.4430842244616864,1.2164157949716956,63,0.9737598413716515,0.904542160895963,0.19271051375181839
0.9778253917549679,39.89550505582895,57,10,65.338699260713,126.64216222200074,85.6183589003106,0.3023574125607893,2.643501403952202,1.2325613031713265,64,0.9770768633595192,0.8945531385950236,0.2121358821936528
0.981426208319795,41.58386599585209,39,4,35.628344162061055,151.01162679541125,71.63718642708145,0.3035284120917161,3.8452501891269755,1.3445366539045398,89,0.9809848964989158,0.8885765943392204,0.22365660168513588
0.985766505730392,44.41155647067917,63,8,54.38919126404689,120.0,92.64720769319452,0.30000000000000004,3.422429964663994,1.2604556034853023,76,0.985695501943563,0.8785669945765741,0.2432869044755796
0.985766505730392,44.41155647067917,63,8,54.3891912640469,120.0,92.64720769319452,0.30000000000000004,3.422429964663994,1.2604556034853023,76,0.985695501943563,0.8785669945765741,0.2432869044755796
0.985766505730392,44.41155647067917,63,8,54.3891912640469,120.0,92.64720769319452,0.30000000000000004,3.422429964663994,1.2604556034853023,76,0.985695501943563,0.8785669945765741,0.2432869044755796
